A,B
-3.0325048685168716,-3.3679177059545684
-2.6037965058637607,-1.616394107584226
-1.3572234658106668,-0.19962778566783346
-2.9922064864984583,-3.523315512080125
-1.7081916515143802,-1.0072088159959771
-1.0425264448585092,-3.1253496832781726
-2.0092271758580282,-2.072902337578405
-1.6351561857728178,-0.17711308855652086
-1.3330483130474726,-1.0812514916465887
-1.3159316107929837,-3.7124208045299856
-2.5282875520750516,-1.7046769891130134
-2.8133971173113723,-2.2685830192813308
-2.9299249971774732,-1.078157637615254
-2.9218075616816637,-3.336923859292993
-1.9637652511587746,-1.5544121499619632
-1.4777011384281202,-1.0538932374849823
-1.8208963399848603,-0.21235547427765922
-1.7254856066355377,-1.6763601084480992
-3.039139332109202,-3.590045053357772
-2.4804450747824496,-1.1233227215652701
-3.136166913879519,-0.2934544055396717
0.3667904646374964,-2.9919168710006603
-2.339468387895081,-2.7272853530401853
-1.1984773953101775,-1.3932539652599774
-1.8180026835344525,-3.812773316237919
-1.331502986623548,-2.4855488573741855
-1.7098764715726504,-1.8109533618176459
-1.9313951681590542,-1.7114464054377598
-3.593231600854669,-1.1125068620230372
-1.6210080547332273,-2.3054967975396528
-1.4737128517930278,-2.000845270102059
-1.3620526397378838,-1.5941108535480772
-2.6233371440960775,-1.5601144256811095
-2.171136171641368,-0.9650666696059551
-1.3580359365820285,-0.4689204290784117
-3.681192829177246,-2.1713262148419306
-3.3432719257544177,-1.3347555851384678
-2.9922008881861286,-2.1742287354796788
-1.5705685885611875,-2.483879900747339
-1.7455111078494658,-2.3526132498671104
-1.4174611058228141,-2.1872314455442186
-1.1656154427714718,-2.6562659610752144
-1.6208552807307415,-1.7705819940406742
-2.0278823781399375,-1.5303940019827005
-2.1564485945163065,-2.8104992352633564
-0.8190837469267396,-1.3996845371039206
-2.042059636029586,-4.255091405750046
-1.0578567623604722,-0.5952658372110591
-3.1651659522864506,-2.1786861549161958
0.30295259612298553,-0.9074567574493424
-1.7331463669573166,-2.512818693048518
-2.7699905327158567,-2.0794612690863286
-2.77060573579672,-0.7853793500576827
-0.12051990986653927,-3.0350056356654767
-2.335584477952702,-2.890113227437716
-0.5072589302305059,-3.519487384509857
-2.4584435271046257,-2.514407020517824
-1.4546796271134919,-1.3827927992844118
-1.06079304764383,-0.6973441359985413
-0.8329238546297701,-2.0548874654133025
-2.516404770196333,-1.9561548362796015
-1.7478715026558251,-2.062665064131936
-1.6095250346787717,-2.0587077941822436
-1.527050910546999,-3.538712626331665
-1.6964503111837763,-1.5046683949404283
-0.733478186014004,-2.7880869707138203
-2.161836011950657,-2.39019360263849
-4.284705781875413,-2.86730278174008
-1.3232155310865896,-3.380226579164904
-1.9369368132725273,-1.8248801183819792
-2.486148767360546,-2.7673409560977538
-0.3457822515339559,-2.4337764698939806
-2.023631518407638,-2.468278797248206
-1.874097915896595,-0.8140327793362498
-0.6661358040438949,-0.6532506678529744
-2.073828539610944,-0.8567614843879923
-1.0247537099655746,-0.001318138903630972
-3.145521227623316,-2.124260983757935
-2.545191115224446,-2.3735564511243346
-4.356532337962596,-2.9252167336240524
-1.9986597586629502,-3.832501136038073
-0.1865205351195791,-0.8204410133115079
-1.27825959754894,-1.5458376223919108
-0.9639029144028421,-1.743519540999146
-1.7243859483042994,-1.6766214206891552
-2.569960173436587,-0.1786124742282753
-1.2611144043036315,-2.708764660955352
-2.607646713855064,-1.6795984170714346
-2.0581794373400335,-3.1409402582495547
-1.8723285228346225,-4.049065553233549
-0.27158390700887725,-2.838436330503514
-2.0229364673958545,-2.6855421501281276
-2.9767963202685728,-0.6794308610774566
-3.055279131377313,-1.038737123863649
-3.897044423336129,-1.1300448982420606
-0.9454088056723489,-2.825954323355502
-3.6193416069762514,-1.2417749153074962
-1.408603598396979,-2.3512809511012467
-2.001598702670915,-0.6793027719481539
-1.0628988756072981,-1.0708488805247136
10.09296541599181,8.786434188401785
8.597010798988249,7.465215881757048
8.093634942747629,8.470412836751603
8.1111865486707,8.23283352211137
6.777672793005798,8.318364834165013
8.495234142663262,9.10401350742596
8.785009126468982,6.698374810375234
8.50629284361047,7.7831534031657945
8.034707542330711,10.153862939909722
7.354726764925238,7.487340955615187
8.388591203032743,9.637683654714486
8.697043150604372,6.616105153496843
7.37964921854512,8.85478271546575
6.892089924760132,7.491719158147309
8.529277098306096,9.351486330036261
10.277703384375362,7.256695219663643
7.1294447083946,8.702681822653094
8.699129666687757,8.230303770652021
7.699054332117543,9.426100031037137
10.176137211075432,6.670937390207803
6.967779717282273,8.537034310431542
9.288924175854131,9.264355939252074
8.754217359818677,7.384067903006249
5.666265639124427,6.268386854421181
8.077121720093752,7.24315842585997
8.524693575985038,8.255157980811145
6.238856750084712,9.619039612243055
8.01924233026475,7.639344780538999
8.974556803954647,9.002180363102633
7.3177860116039755,7.887884914257963
7.750925689615195,7.7855565155611375
10.155364568598731,8.5682844466425
7.807195009977087,7.071322385223595
8.581050126452785,7.218734845007743
9.495990043215041,7.564728118724279
8.150620718707493,8.488220798754167
8.29703162078201,5.528571271029666
8.582009582354388,7.963965793999248
7.887009050832276,8.725488678623154
8.813379552311382,7.831003008365689
7.60770232591958,7.592581120718031
6.8923861756838605,8.701173393287766
8.902315275787316,7.644910098076344
8.789359928560792,9.479066373996126
8.15477167667651,9.004913196158128
7.265818771963938,9.003614099500066
8.717785012884455,7.777051859996259
8.685371812047103,8.68888861667669
8.290172388365201,8.537291266601823
7.736905882816191,6.295779196788665
9.04975623083866,8.67361604031425
8.34676143871653,7.9450360454662565
8.401798418104852,6.345530651777388
7.963279350018425,8.725046171440113
6.535992267429683,7.037914676624213
7.842515387168106,8.0711210961969
8.161023674527586,8.298876008504946
6.392837292045528,8.343768653301504
7.8651290627159005,9.441798499554887
7.363941891025982,7.914721618197084
6.756764572135848,8.13448915251559
8.466955444167331,6.878425300136477
10.5064377681634,5.654951076708846
8.96019932150227,8.727229395612058
6.871090374805812,6.858193301480606
7.474363175155942,6.375676074952357
7.179455240889969,7.226080230054289
8.518038532231087,8.755690875307586
7.729068832387531,8.727932639931788
7.627745507524546,7.422871022965598
6.916693175027691,10.296944816273433
9.704717318841888,7.754362438338819
7.537455437423738,6.741716356163295
